005F;Pc
0910;Lo
0911;Lo
0912;Lo
0913;Lo
0914;Lo
0915;Lo
0916;Lo
0917;Lo
0918;Lo
0919;Lo
091A;Lo
091B;Lo
091C;Lo
091D;Lo
091E;Lo
091F;Lo
0920;Lo
0921;Lo
0922;Lo
0923;Lo
0924;Lo
0925;Lo
0926;Lo
0927;Lo
0928;Lo
0929;Lo
092A;Lo
092B;Lo
092C;Lo
092D;Lo
092E;Lo
092F;Lo
0930;Lo
0931;Lo
0932;Lo
0933;Lo
0934;Lo
0935;Lo
0936;Lo
0937;Lo
0938;Lo
0939;Lo
093B;Mc
093D;Lo
093E;Mc
093F;Mc
0940;Mc
0949;Mc
094A;Mc
094B;Mc
094C;Mc
094E;Mc
094F;Mc
0950;Lo
0958;Lo
0959;Lo
095A;Lo
095B;Lo
095C;Lo
095D;Lo
095E;Lo
095F;Lo
0960;Lo
0961;Lo
0972;Lo
0973;Lo
0974;Lo
0975;Lo
0976;Lo
0977;Lo
0978;Lo
0979;Lo
097A;Lo
097B;Lo
097C;Lo
097D;Lo
097E;Lo
097F;Lo
0980;Lo
0982;Mc
0983;Mc
0985;Lo
0986;Lo
0987;Lo
0988;Lo
0989;Lo
098A;Lo
098B;Lo
098C;Lo
098F;Lo
0990;Lo
0993;Lo
0994;Lo
0995;Lo
0996;Lo
0997;Lo
0998;Lo
0999;Lo
099A;Lo
099B;Lo
099C;Lo
099D;Lo
099E;Lo
099F;Lo
09A0;Lo
09A1;Lo
09A2;Lo
09A3;Lo
09A4;Lo
09A5;Lo
09A6;Lo
09A7;Lo
09A8;Lo
09AA;Lo
09AB;Lo
09AC;Lo
09AD;Lo
09AE;Lo
09AF;Lo
09B0;Lo
09B2;Lo
09B6;Lo
09B7;Lo
09B8;Lo
09B9;Lo
09BD;Lo
09BE;Mc
09BF;Mc
09C0;Mc
09C7;Mc
09C8;Mc
09CB;Mc
09CC;Mc
09CE;Lo
09D7;Mc
09DC;Lo
09DD;Lo
09DF;Lo
09E0;Lo
09E1;Lo
09F0;Lo
09F1;Lo
0A03;Mc
0A05;Lo
0A06;Lo
0A07;Lo
0A08;Lo
0A09;Lo
0A0A;Lo
0A0F;Lo
0A10;Lo
0A13;Lo
0A14;Lo
0A15;Lo
0A16;Lo
0A17;Lo
0A18;Lo
0A19;Lo
0A1A;Lo
0A1B;Lo
0A1C;Lo
0A1D;Lo
0A1E;Lo
0A1F;Lo
0A20;Lo
0A21;Lo
0A22;Lo
0A23;Lo
0A24;Lo
0A25;Lo
0A26;Lo
0A27;Lo
0A28;Lo
0A2A;Lo
0A2B;Lo
0A2C;Lo
0A2D;Lo
0A2E;Lo
0A2F;Lo
0A30;Lo
0A32;Lo
0A33;Lo
0A35;Lo
0A36;Lo
0A38;Lo
0A39;Lo
0A3E;Mc
0A3F;Mc
0A40;Mc
0A59;Lo
0A5A;Lo
0A5B;Lo
0A5C;Lo
0A5E;Lo
0A72;Lo
0A73;Lo
0A74;Lo
0A83;Mc
0A85;Lo
0A86;Lo
0A87;Lo
0A88;Lo
0A89;Lo
0A8A;Lo
0A8B;Lo
0A8C;Lo
0A8D;Lo
0A8F;Lo
0A90;Lo
0A91;Lo
0A93;Lo
0A94;Lo
0A95;Lo
0A96;Lo
0A97;Lo
0A98;Lo
0A99;Lo
0A9A;Lo
0A9B;Lo
0A9C;Lo
0A9D;Lo
0A9E;Lo
0A9F;Lo
0AA0;Lo
0AA1;Lo
0AA2;Lo
0AA3;Lo
0AA4;Lo
0AA5;Lo
0AA6;Lo
0AA7;Lo
0AA8;Lo
0AAA;Lo
0AAB;Lo
0AAC;Lo
0AAD;Lo
0AAE;Lo
0AAF;Lo
0AB0;Lo
0AB2;Lo
0AB3;Lo
0AB5;Lo
0AB6;Lo
0AB7;Lo
0AB8;Lo
0AB9;Lo
0ABD;Lo
0ABE;Mc
0ABF;Mc
0AC0;Mc
0AC9;Mc
0ACB;Mc
0ACC;Mc
0AD0;Lo
0AE0;Lo
0AE1;Lo
0AF9;Lo
0B02;Mc
0B03;Mc
0B05;Lo
0B06;Lo
0B07;Lo
0B08;Lo
0B09;Lo
0B0A;Lo
0B0B;Lo
0B0C;Lo
0B0F;Lo
0B10;Lo
0B13;Lo
0B14;Lo
0B15;Lo
0B16;Lo
0B17;Lo
0B18;Lo
0B19;Lo
0B1A;Lo
0B1B;Lo
0B1C;Lo
0B1D;Lo
0B1E;Lo
0B1F;Lo
0B20;Lo
0B21;Lo
0B22;Lo
0B23;Lo
0B24;Lo
0B25;Lo
0B26;Lo
0B27;Lo
0B28;Lo
0B2A;Lo
0B2B;Lo
0B2C;Lo
0B2D;Lo
0B2E;Lo
0B2F;Lo
0B30;Lo
0B32;Lo
0B33;Lo
0B35;Lo
0B36;Lo
0B37;Lo
0B38;Lo
0B39;Lo
0B3D;Lo
0B3E;Mc
0B40;Mc
0B47;Mc
0B48;Mc
0B4B;Mc
0B4C;Mc
0B57;Mc
0B5C;Lo
0B5D;Lo
0B5F;Lo
0B60;Lo
0B61;Lo
0B71;Lo
0B83;Lo
0B85;Lo
0B86;Lo
0B87;Lo
0B88;Lo
0B89;Lo
0B8A;Lo
0B8E;Lo
0B8F;Lo
0B90;Lo
0B92;Lo
0B93;Lo
0B94;Lo
0B95;Lo
0B99;Lo
0B9A;Lo
0B9C;Lo
0B9E;Lo
0B9F;Lo
0BA3;Lo
0BA4;Lo
0BA8;Lo
0BA9;Lo
0BAA;Lo
0BAE;Lo
0BAF;Lo
0BB0;Lo
0BB1;Lo
0BB2;Lo
0BB3;Lo
0BB4;Lo
0BB5;Lo
0BB6;Lo
0BB7;Lo
0BB8;Lo
0BB9;Lo
0BBE;Mc
0BBF;Mc
0BC1;Mc
0BC2;Mc
0BC6;Mc
0BC7;Mc
0BC8;Mc
0BCA;Mc
0BCB;Mc
0BCC;Mc
0BD0;Lo
0BD7;Mc
0C01;Mc
0C02;Mc
0C03;Mc
0C05;Lo
0C06;Lo
0C07;Lo
0C08;Lo
0C09;Lo
0C0A;Lo
0C0B;Lo
0C0C;Lo
0C0E;Lo
0C0F;Lo
0C10;Lo
0C12;Lo
0C13;Lo
0C14;Lo
0C15;Lo
0C16;Lo
0C17;Lo
0C18;Lo
0C19;Lo
0C1A;Lo
0C1B;Lo
0C1C;Lo
0C1D;Lo
0C1E;Lo
0C1F;Lo
0C20;Lo
0C21;Lo
0C22;Lo
0C23;Lo
0C24;Lo
0C25;Lo
0C26;Lo
0C27;Lo
0C28;Lo
0C2A;Lo
0C2B;Lo
0C2C;Lo
0C2D;Lo
0C2E;Lo
0C2F;Lo
0C30;Lo
0C31;Lo
0C32;Lo
0C33;Lo
0C34;Lo
0C35;Lo
0C36;Lo
0C37;Lo
0C38;Lo
0C39;Lo
0C3D;Lo
0C41;Mc
0C42;Mc
0C43;Mc
0C44;Mc
0C58;Lo
0C59;Lo
0C5A;Lo
0C60;Lo
0C61;Lo
0C82;Mc
0C83;Mc
0C85;Lo
0C86;Lo
0C87;Lo
0C88;Lo
0C89;Lo
0C8A;Lo
0C8B;Lo
0C8C;Lo
0C8E;Lo
0C8F;Lo
0C90;Lo
0C92;Lo
0C93;Lo
0C94;Lo
0C95;Lo
0C96;Lo
0C97;Lo
0C98;Lo
0C99;Lo
0C9A;Lo
0C9B;Lo
0C9C;Lo
0C9D;Lo
0C9E;Lo
0C9F;Lo
0CA0;Lo
0CA1;Lo
0CA2;Lo
0CA3;Lo
0CA4;Lo
0CA5;Lo
0CA6;Lo
0CA7;Lo
0CA8;Lo
0CAA;Lo
0CAB;Lo
0CAC;Lo
0CAD;Lo
0CAE;Lo
0CAF;Lo
0CB0;Lo
0CB1;Lo
0CB2;Lo
0CB3;Lo
0CB5;Lo
0CB6;Lo
0CB7;Lo
0CB8;Lo
0CB9;Lo
0CBD;Lo
0CBE;Mc
0CC0;Mc
0CC1;Mc
0CC2;Mc
0CC3;Mc
0CC4;Mc
0CC7;Mc
0CC8;Mc
0CCA;Mc
0CCB;Mc
0CD5;Mc
0CD6;Mc
0CDE;Lo
0CE0;Lo
0CE1;Lo
0CF1;Lo
0CF2;Lo
0D02;Mc
0D03;Mc
0D05;Lo
0D06;Lo
0D07;Lo
0D08;Lo
0D09;Lo
0D0A;Lo
