005F;Pc
12AB;Lo
12AC;Lo
12AD;Lo
12AE;Lo
12AF;Lo
12B0;Lo
12B2;Lo
12B3;Lo
12B4;Lo
12B5;Lo
12B8;Lo
12B9;Lo
12BA;Lo
12BB;Lo
12BC;Lo
12BD;Lo
12BE;Lo
12C0;Lo
12C2;Lo
12C3;Lo
12C4;Lo
12C5;Lo
12C8;Lo
12C9;Lo
12CA;Lo
12CB;Lo
12CC;Lo
12CD;Lo
12CE;Lo
12CF;Lo
12D0;Lo
12D1;Lo
12D2;Lo
12D3;Lo
12D4;Lo
12D5;Lo
12D6;Lo
12D8;Lo
12D9;Lo
12DA;Lo
12DB;Lo
12DC;Lo
12DD;Lo
12DE;Lo
12DF;Lo
12E0;Lo
12E1;Lo
12E2;Lo
12E3;Lo
12E4;Lo
12E5;Lo
12E6;Lo
12E7;Lo
12E8;Lo
12E9;Lo
12EA;Lo
12EB;Lo
12EC;Lo
12ED;Lo
12EE;Lo
12EF;Lo
12F0;Lo
12F1;Lo
12F2;Lo
12F3;Lo
12F4;Lo
12F5;Lo
12F6;Lo
12F7;Lo
12F8;Lo
12F9;Lo
12FA;Lo
12FB;Lo
12FC;Lo
12FD;Lo
12FE;Lo
12FF;Lo
1300;Lo
1301;Lo
1302;Lo
1303;Lo
1304;Lo
1305;Lo
1306;Lo
1307;Lo
1308;Lo
1309;Lo
130A;Lo
130B;Lo
130C;Lo
130D;Lo
130E;Lo
130F;Lo
1310;Lo
1312;Lo
1313;Lo
1314;Lo
1315;Lo
1318;Lo
1319;Lo
131A;Lo
131B;Lo
131C;Lo
131D;Lo
131E;Lo
131F;Lo
1320;Lo
1321;Lo
1322;Lo
1323;Lo
1324;Lo
1325;Lo
1326;Lo
1327;Lo
1328;Lo
1329;Lo
132A;Lo
132B;Lo
132C;Lo
132D;Lo
132E;Lo
132F;Lo
1330;Lo
1331;Lo
1332;Lo
1333;Lo
1334;Lo
1335;Lo
1336;Lo
1337;Lo
1338;Lo
1339;Lo
133A;Lo
133B;Lo
133C;Lo
133D;Lo
133E;Lo
133F;Lo
1340;Lo
1341;Lo
1342;Lo
1343;Lo
1344;Lo
1345;Lo
1346;Lo
1347;Lo
1348;Lo
1349;Lo
134A;Lo
134B;Lo
134C;Lo
134D;Lo
134E;Lo
134F;Lo
1350;Lo
1351;Lo
1352;Lo
1353;Lo
1354;Lo
1355;Lo
1356;Lo
1357;Lo
1358;Lo
1359;Lo
135A;Lo
1380;Lo
1381;Lo
1382;Lo
1383;Lo
1384;Lo
1385;Lo
1386;Lo
1387;Lo
1388;Lo
1389;Lo
138A;Lo
138B;Lo
138C;Lo
138D;Lo
138E;Lo
138F;Lo
1401;Lo
1402;Lo
1403;Lo
1404;Lo
1405;Lo
1406;Lo
1407;Lo
1408;Lo
1409;Lo
140A;Lo
140B;Lo
140C;Lo
140D;Lo
140E;Lo
140F;Lo
1410;Lo
1411;Lo
1412;Lo
1413;Lo
1414;Lo
1415;Lo
1416;Lo
1417;Lo
1418;Lo
1419;Lo
141A;Lo
141B;Lo
141C;Lo
141D;Lo
141E;Lo
141F;Lo
1420;Lo
1421;Lo
1422;Lo
1423;Lo
1424;Lo
1425;Lo
1426;Lo
1427;Lo
1428;Lo
1429;Lo
142A;Lo
142B;Lo
142C;Lo
142D;Lo
142E;Lo
142F;Lo
1430;Lo
1431;Lo
1432;Lo
1433;Lo
1434;Lo
1435;Lo
1436;Lo
1437;Lo
1438;Lo
1439;Lo
143A;Lo
143B;Lo
143C;Lo
143D;Lo
143E;Lo
143F;Lo
1440;Lo
1441;Lo
1442;Lo
1443;Lo
1444;Lo
1445;Lo
1446;Lo
1447;Lo
1448;Lo
1449;Lo
144A;Lo
144B;Lo
144C;Lo
144D;Lo
144E;Lo
144F;Lo
1450;Lo
1451;Lo
1452;Lo
1453;Lo
1454;Lo
1455;Lo
1456;Lo
1457;Lo
1458;Lo
1459;Lo
145A;Lo
145B;Lo
145C;Lo
145D;Lo
145E;Lo
145F;Lo
1460;Lo
1461;Lo
1462;Lo
1463;Lo
1464;Lo
1465;Lo
1466;Lo
1467;Lo
1468;Lo
1469;Lo
146A;Lo
146B;Lo
146C;Lo
146D;Lo
146E;Lo
146F;Lo
1470;Lo
1471;Lo
1472;Lo
1473;Lo
1474;Lo
1475;Lo
1476;Lo
1477;Lo
1478;Lo
1479;Lo
147A;Lo
147B;Lo
147C;Lo
147D;Lo
147E;Lo
147F;Lo
1480;Lo
1481;Lo
1482;Lo
1483;Lo
1484;Lo
1485;Lo
1486;Lo
1487;Lo
1488;Lo
1489;Lo
148A;Lo
148B;Lo
148C;Lo
148D;Lo
148E;Lo
148F;Lo
1490;Lo
1491;Lo
1492;Lo
1493;Lo
1494;Lo
1495;Lo
1496;Lo
1497;Lo
1498;Lo
1499;Lo
149A;Lo
149B;Lo
149C;Lo
149D;Lo
149E;Lo
149F;Lo
14A0;Lo
14A1;Lo
14A2;Lo
14A3;Lo
14A4;Lo
14A5;Lo
14A6;Lo
14A7;Lo
14A8;Lo
14A9;Lo
14AA;Lo
14AB;Lo
14AC;Lo
14AD;Lo
14AE;Lo
14AF;Lo
14B0;Lo
14B1;Lo
14B2;Lo
14B3;Lo
14B4;Lo
14B5;Lo
14B6;Lo
14B7;Lo
14B8;Lo
14B9;Lo
14BA;Lo
14BB;Lo
14BC;Lo
14BD;Lo
14BE;Lo
14BF;Lo
14C0;Lo
14C1;Lo
14C2;Lo
14C3;Lo
14C4;Lo
14C5;Lo
14C6;Lo
14C7;Lo
14C8;Lo
14C9;Lo
14CA;Lo
14CB;Lo
14CC;Lo
14CD;Lo
14CE;Lo
14CF;Lo
14D0;Lo
14D1;Lo
14D2;Lo
14D3;Lo
14D4;Lo
14D5;Lo
14D6;Lo
14D7;Lo
14D8;Lo
14D9;Lo
14DA;Lo
14DB;Lo
14DC;Lo
14DD;Lo
14DE;Lo
14DF;Lo
14E0;Lo
14E1;Lo
14E2;Lo
14E3;Lo
14E4;Lo
14E5;Lo
14E6;Lo
14E7;Lo
14E8;Lo
14E9;Lo
14EA;Lo
14EB;Lo
14EC;Lo
14ED;Lo
14EE;Lo
14EF;Lo
14F0;Lo
14F1;Lo
14F2;Lo
14F3;Lo
14F4;Lo
14F5;Lo
14F6;Lo
14F7;Lo
14F8;Lo
14F9;Lo
14FA;Lo
14FB;Lo
14FC;Lo
14FD;Lo
14FE;Lo
14FF;Lo
1500;Lo
1501;Lo
1502;Lo
1503;Lo
1504;Lo
1505;Lo
1506;Lo
1507;Lo
1508;Lo
1509;Lo
150A;Lo
150B;Lo
150C;Lo
150D;Lo
150E;Lo
150F;Lo
1510;Lo
1511;Lo
1512;Lo
1513;Lo
1514;Lo
1515;Lo
1516;Lo
1517;Lo
1518;Lo
1519;Lo
151A;Lo
151B;Lo
151C;Lo
151D;Lo
151E;Lo
151F;Lo
1520;Lo
1521;Lo
1522;Lo
1523;Lo
1524;Lo
1525;Lo
1526;Lo
1527;Lo
1528;Lo
1529;Lo
152A;Lo
152B;Lo
152C;Lo
152D;Lo
152E;Lo
152F;Lo
1530;Lo
1531;Lo
1532;Lo
1533;Lo
1534;Lo
1535;Lo
1536;Lo
1537;Lo
1538;Lo
1539;Lo
153A;Lo
153B;Lo
153C;Lo
153D;Lo
153E;Lo
153F;Lo
1540;Lo
1541;Lo
1542;Lo
1543;Lo
1544;Lo
1545;Lo
1546;Lo
1547;Lo
1548;Lo
1549;Lo
154A;Lo
154B;Lo
154C;Lo
154D;Lo
154E;Lo
154F;Lo
1550;Lo
1551;Lo
1552;Lo
1553;Lo
1554;Lo
1555;Lo
1556;Lo
1557;Lo
1558;Lo
1559;Lo
155A;Lo
155B;Lo
155C;Lo
155D;Lo
155E;Lo
155F;Lo
1560;Lo
1561;Lo
1562;Lo
1563;Lo
1564;Lo
1565;Lo
1566;Lo
1567;Lo
1568;Lo
1569;Lo
156A;Lo
156B;Lo
156C;Lo
156D;Lo
156E;Lo
156F;Lo
1570;Lo
1571;Lo
1572;Lo
1573;Lo
1574;Lo
1575;Lo
1576;Lo
1577;Lo
1578;Lo
1579;Lo
157A;Lo
157B;Lo
157C;Lo
157D;Lo
157E;Lo
157F;Lo
1580;Lo
1581;Lo
1582;Lo
1583;Lo
1584;Lo
1585;Lo
1586;Lo
1587;Lo
1588;Lo
1589;Lo
158A;Lo
158B;Lo
158C;Lo
158D;Lo
158E;Lo
158F;Lo
1590;Lo
1591;Lo
1592;Lo
1593;Lo
1594;Lo
1595;Lo
1596;Lo
1597;Lo
1598;Lo
1599;Lo
159A;Lo
159B;Lo
159C;Lo
159D;Lo
159E;Lo
159F;Lo
15A0;Lo
15A1;Lo
15A2;Lo
15A3;Lo
15A4;Lo
15A5;Lo
15A6;Lo
15A7;Lo
15A8;Lo
15A9;Lo
15AA;Lo
15AB;Lo
15AC;Lo
15AD;Lo
15AE;Lo
15AF;Lo
15B0;Lo
15B1;Lo
15B2;Lo
15B3;Lo
15B4;Lo
15B5;Lo
15B6;Lo
15B7;Lo
15B8;Lo
15B9;Lo
15BA;Lo
15BB;Lo
15BC;Lo
15BD;Lo
15BE;Lo
15BF;Lo
15C0;Lo
15C1;Lo
15C2;Lo
15C3;Lo
15C4;Lo
15C5;Lo
15C6;Lo
15C7;Lo
15C8;Lo
15C9;Lo
15CA;Lo
15CB;Lo
15CC;Lo
15CD;Lo
15CE;Lo
15CF;Lo
15D0;Lo
15D1;Lo
15D2;Lo
15D3;Lo
15D4;Lo
15D5;Lo
15D6;Lo
15D7;Lo
15D8;Lo
15D9;Lo
15DA;Lo
15DB;Lo
15DC;Lo
15DD;Lo
15DE;Lo
15DF;Lo
15E0;Lo
15E1;Lo
15E2;Lo
15E3;Lo
15E4;Lo
15E5;Lo
15E6;Lo
15E7;Lo
15E8;Lo
15E9;Lo
15EA;Lo
15EB;Lo
15EC;Lo
15ED;Lo
15EE;Lo
15EF;Lo
15F0;Lo
15F1;Lo
15F2;Lo
15F3;Lo
15F4;Lo
15F5;Lo
15F6;Lo
15F7;Lo
15F8;Lo
15F9;Lo
15FA;Lo
15FB;Lo
15FC;Lo
15FD;Lo
15FE;Lo
15FF;Lo
1600;Lo
1601;Lo
1602;Lo
1603;Lo
1604;Lo
1605;Lo
1606;Lo
1607;Lo
1608;Lo
1609;Lo
160A;Lo
160B;Lo
160C;Lo
160D;Lo
160E;Lo
160F;Lo
1610;Lo
1611;Lo
1612;Lo
1613;Lo
1614;Lo
1615;Lo
1616;Lo
1617;Lo
1618;Lo
1619;Lo
161A;Lo
161B;Lo
161C;Lo
161D;Lo
161E;Lo
161F;Lo
1620;Lo
1621;Lo
1622;Lo
1623;Lo
1624;Lo
1625;Lo
1626;Lo
1627;Lo
1628;Lo
1629;Lo
162A;Lo
162B;Lo
162C;Lo
162D;Lo
162E;Lo
162F;Lo
1630;Lo
1631;Lo
1632;Lo
1633;Lo
1634;Lo
1635;Lo
1636;Lo
1637;Lo
1638;Lo
1639;Lo
163A;Lo
163B;Lo
163C;Lo
163D;Lo
163E;Lo
163F;Lo
1640;Lo
1641;Lo
1642;Lo
1643;Lo
1644;Lo
1645;Lo
1646;Lo
1647;Lo
1648;Lo
1649;Lo
164A;Lo
164B;Lo
164C;Lo
164D;Lo
164E;Lo
164F;Lo
1650;Lo
1651;Lo
1652;Lo
1653;Lo
1654;Lo
1655;Lo
1656;Lo
1657;Lo
1658;Lo
1659;Lo
165A;Lo
165B;Lo
165C;Lo
165D;Lo
165E;Lo
165F;Lo
1660;Lo
1661;Lo
1662;Lo
1663;Lo
1664;Lo
1665;Lo
1666;Lo
1667;Lo
1668;Lo
1669;Lo
166A;Lo
166B;Lo
166C;Lo
166F;Lo
1670;Lo
1671;Lo
1672;Lo
1673;Lo
1674;Lo
1675;Lo
1676;Lo
1677;Lo
1678;Lo
1679;Lo
167A;Lo
167B;Lo
167C;Lo
167D;Lo
167E;Lo
167F;Lo
1681;Lo
1682;Lo
1683;Lo
1684;Lo
1685;Lo
1686;Lo
1687;Lo
1688;Lo
1689;Lo
168A;Lo
168B;Lo
168C;Lo
168D;Lo
168E;Lo
168F;Lo
1690;Lo
1691;Lo
1692;Lo
1693;Lo
1694;Lo
1695;Lo
1696;Lo
1697;Lo
1698;Lo
1699;Lo
169A;Lo
16A0;Lo
16A1;Lo
16A2;Lo
16A3;Lo
16A4;Lo
16A5;Lo
16A6;Lo
16A7;Lo
16A8;Lo
16A9;Lo
16AA;Lo
16AB;Lo
16AC;Lo
16AD;Lo
16AE;Lo
16AF;Lo
16B0;Lo
16B1;Lo
16B2;Lo
16B3;Lo
16B4;Lo
16B5;Lo
16B6;Lo
16B7;Lo
16B8;Lo
16B9;Lo
16BA;Lo
16BB;Lo
16BC;Lo
16BD;Lo
16BE;Lo
16BF;Lo
16C0;Lo
16C1;Lo
16C2;Lo
16C3;Lo
16C4;Lo
16C5;Lo
16C6;Lo
16C7;Lo
16C8;Lo
16C9;Lo
16CA;Lo
16CB;Lo
16CC;Lo
16CD;Lo
16CE;Lo
16CF;Lo
16D0;Lo
16D1;Lo
16D2;Lo
16D3;Lo
16D4;Lo
16D5;Lo
16D6;Lo
16D7;Lo
16D8;Lo
16D9;Lo
16DA;Lo
16DB;Lo
16DC;Lo
16DD;Lo
16DE;Lo
16DF;Lo
16E0;Lo
16E1;Lo
16E2;Lo
16E3;Lo
16E4;Lo
16E5;Lo
16E6;Lo
16E7;Lo
16E8;Lo
16E9;Lo
16EA;Lo
16F1;Lo
16F2;Lo
16F3;Lo
16F4;Lo
16F5;Lo
16F6;Lo
16F7;Lo
16F8;Lo
1700;Lo
1701;Lo
1702;Lo
1703;Lo
1704;Lo
1705;Lo
1706;Lo
1707;Lo
1708;Lo
1709;Lo
170A;Lo
170B;Lo
170C;Lo
170E;Lo
170F;Lo
1710;Lo
1711;Lo
1720;Lo
1721;Lo
1722;Lo
1723;Lo
1724;Lo
1725;Lo
1726;Lo
1727;Lo
1728;Lo
1729;Lo
172A;Lo
172B;Lo
172C;Lo
172D;Lo
172E;Lo
172F;Lo
1730;Lo
1731;Lo
1740;Lo
1741;Lo
1742;Lo
1743;Lo
1744;Lo
1745;Lo
1746;Lo
1747;Lo
1748;Lo
1749;Lo
174A;Lo
174B;Lo
174C;Lo
174D;Lo
174E;Lo
174F;Lo
1750;Lo
1751;Lo
1760;Lo
1761;Lo
1762;Lo
1763;Lo
1764;Lo
1765;Lo
1766;Lo
1767;Lo
1768;Lo
1769;Lo
176A;Lo
176B;Lo
176C;Lo
176E;Lo
176F;Lo
1770;Lo
1780;Lo
1781;Lo
1782;Lo
1783;Lo
1784;Lo
1785;Lo
1786;Lo
1787;Lo
1788;Lo
1789;Lo
178A;Lo
178B;Lo
178C;Lo
178D;Lo
178E;Lo
178F;Lo
1790;Lo
1791;Lo
1792;Lo
1793;Lo
1794;Lo
1795;Lo
1796;Lo
1797;Lo
1798;Lo
1799;Lo
179A;Lo
179B;Lo
179C;Lo
179D;Lo
179E;Lo
179F;Lo
17A0;Lo
17A1;Lo
17A2;Lo
17A3;Lo
17A4;Lo
17A5;Lo
17A6;Lo
17A7;Lo
17A8;Lo
17A9;Lo
17AA;Lo
17AB;Lo
17AC;Lo
17AD;Lo
17AE;Lo
17AF;Lo
17B0;Lo
17B1;Lo
17B2;Lo
17B3;Lo
17B6;Mc
17BE;Mc
17BF;Mc
17C0;Mc
17C1;Mc
17C2;Mc
17C3;Mc
17C4;Mc
17C5;Mc
17C7;Mc
17C8;Mc
17DC;Lo
180E;Cf
1820;Lo
1821;Lo
1822;Lo
1823;Lo
1824;Lo
1825;Lo
1826;Lo
1827;Lo
1828;Lo
1829;Lo
182A;Lo
182B;Lo
182C;Lo
182D;Lo
182E;Lo
182F;Lo
1830;Lo
1831;Lo
1832;Lo
1833;Lo
1834;Lo
1835;Lo
1836;Lo
1837;Lo
1838;Lo
1839;Lo
183A;Lo
183B;Lo
183C;Lo
183D;Lo
183E;Lo
183F;Lo
1840;Lo
1841;Lo
1842;Lo
1844;Lo
1845;Lo
1846;Lo
1847;Lo
1848;Lo
1849;Lo
184A;Lo
184B;Lo
184C;Lo
184D;Lo
184E;Lo
184F;Lo
1850;Lo
1851;Lo
1852;Lo
1853;Lo
1854;Lo
1855;Lo
1856;Lo
1857;Lo
1858;Lo
1859;Lo
185A;Lo
185B;Lo
185C;Lo
185D;Lo
185E;Lo
185F;Lo
1860;Lo
1861;Lo
1862;Lo
1863;Lo
1864;Lo
1865;Lo
1866;Lo
1867;Lo
1868;Lo
1869;Lo
186A;Lo
186B;Lo
186C;Lo
186D;Lo
186E;Lo
186F;Lo
1870;Lo
1871;Lo
1872;Lo
1873;Lo
1874;Lo
1875;Lo
1876;Lo
1877;Lo
1880;Lo
1881;Lo
1882;Lo
1883;Lo
1884;Lo
1885;Lo
1886;Lo
1887;Lo
1888;Lo
1889;Lo
188A;Lo
188B;Lo
188C;Lo
188D;Lo
188E;Lo
188F;Lo
1890;Lo
1891;Lo
1892;Lo
1893;Lo
1894;Lo
1895;Lo
1896;Lo
1897;Lo
1898;Lo
1899;Lo
189A;Lo
189B;Lo
189C;Lo
189D;Lo
189E;Lo
189F;Lo
18A0;Lo
18A1;Lo
18A2;Lo
18A3;Lo
18A4;Lo
18A5;Lo
18A6;Lo
18A7;Lo
18A8;Lo
18AA;Lo
18B0;Lo
18B1;Lo
18B2;Lo
18B3;Lo
18B4;Lo
18B5;Lo
18B6;Lo
18B7;Lo
18B8;Lo
18B9;Lo
18BA;Lo
18BB;Lo
18BC;Lo
18BD;Lo
18BE;Lo
18BF;Lo
18C0;Lo
18C1;Lo
18C2;Lo
18C3;Lo
18C4;Lo
18C5;Lo
18C6;Lo
18C7;Lo
18C8;Lo
18C9;Lo
18CA;Lo
18CB;Lo
18CC;Lo
18CD;Lo
18CE;Lo
18CF;Lo
18D0;Lo
18D1;Lo
18D2;Lo
18D3;Lo
18D4;Lo
18D5;Lo
18D6;Lo
18D7;Lo
18D8;Lo
18D9;Lo
18DA;Lo
18DB;Lo
18DC;Lo
18DD;Lo
18DE;Lo
18DF;Lo
18E0;Lo
18E1;Lo
18E2;Lo
18E3;Lo
18E4;Lo
18E5;Lo
18E6;Lo
18E7;Lo
18E8;Lo
18E9;Lo
18EA;Lo
18EB;Lo
18EC;Lo
18ED;Lo
18EE;Lo
18EF;Lo
18F0;Lo
18F1;Lo
18F2;Lo
18F3;Lo
18F4;Lo
18F5;Lo
1900;Lo
1901;Lo
1902;Lo
1903;Lo
1904;Lo
1905;Lo
1906;Lo
1907;Lo
1908;Lo
1909;Lo
190A;Lo
190B;Lo
190C;Lo
190D;Lo
190E;Lo
190F;Lo
1910;Lo
1911;Lo
1912;Lo
1913;Lo
1914;Lo
1915;Lo
1916;Lo
1917;Lo
1918;Lo
1919;Lo
191A;Lo
191B;Lo
191C;Lo
191D;Lo
191E;Lo
1923;Mc
1924;Mc
1925;Mc
1926;Mc
1929;Mc
192A;Mc
192B;Mc
1930;Mc
1931;Mc
1933;Mc
1934;Mc
1935;Mc
1936;Mc
1937;Mc
1938;Mc
1950;Lo
1951;Lo
1952;Lo
1953;Lo
1954;Lo
1955;Lo
1956;Lo
1957;Lo
1958;Lo
1959;Lo
195A;Lo
195B;Lo
195C;Lo
195D;Lo
195E;Lo
195F;Lo
1960;Lo
1961;Lo
1962;Lo
1963;Lo
1964;Lo
1965;Lo
1966;Lo
1967;Lo
1968;Lo
1969;Lo
196A;Lo
196B;Lo
196C;Lo
196D;Lo
1970;Lo
1971;Lo
1972;Lo
1973;Lo
1974;Lo
1980;Lo
1981;Lo
1982;Lo
1983;Lo
1984;Lo
1985;Lo
1986;Lo
1987;Lo
1988;Lo
1989;Lo
198A;Lo
198B;Lo
198C;Lo
198D;Lo
198E;Lo
198F;Lo
1990;Lo
1991;Lo
1992;Lo
1993;Lo
1994;Lo
1995;Lo
1996;Lo
1997;Lo
1998;Lo
1999;Lo
199A;Lo
199B;Lo
199C;Lo
199D;Lo
199E;Lo
199F;Lo
19A0;Lo
19A1;Lo
19A2;Lo
19A3;Lo
19A4;Lo
19A5;Lo
19A6;Lo
19A7;Lo
19A8;Lo
19A9;Lo
19AA;Lo
19AB;Lo
19B0;Lo
19B1;Lo
19B2;Lo
19B3;Lo
19B4;Lo
19B5;Lo
19B6;Lo
19B7;Lo
19B8;Lo
19B9;Lo
19BA;Lo
19BB;Lo
19BC;Lo
19BD;Lo
19BE;Lo
19BF;Lo
19C0;Lo
19C1;Lo
19C2;Lo
19C3;Lo
19C4;Lo
19C5;Lo
19C6;Lo
19C7;Lo
19C8;Lo
19C9;Lo
1A00;Lo
1A01;Lo
1A02;Lo
1A03;Lo
1A04;Lo
1A05;Lo
1A06;Lo
1A07;Lo
1A08;Lo
1A09;Lo
1A0A;Lo
1A0B;Lo
1A0C;Lo
1A0D;Lo
1A0E;Lo
1A0F;Lo
1A10;Lo
1A11;Lo
1A12;Lo
1A13;Lo
1A14;Lo
1A15;Lo
1A16;Lo
1A19;Mc
1A1A;Mc
1A20;Lo
1A21;Lo
1A22;Lo
1A23;Lo
1A24;Lo
1A25;Lo
1A26;Lo
1A27;Lo
1A28;Lo
1A29;Lo
1A2A;Lo
1A2B;Lo
1A2C;Lo
1A2D;Lo
1A2E;Lo
1A2F;Lo
1A30;Lo
1A31;Lo
1A32;Lo
1A33;Lo
1A34;Lo
1A35;Lo
1A36;Lo
1A37;Lo
1A38;Lo
1A39;Lo
1A3A;Lo
1A3B;Lo
1A3C;Lo
1A3D;Lo
1A3E;Lo
1A3F;Lo
1A40;Lo
1A41;Lo
1A42;Lo
1A43;Lo
1A44;Lo
1A45;Lo
1A46;Lo
1A47;Lo
1A48;Lo
1A49;Lo
1A4A;Lo
1A4B;Lo
1A4C;Lo
1A4D;Lo
1A4E;Lo
1A4F;Lo
1A50;Lo
1A51;Lo
1A52;Lo
1A53;Lo
1A54;Lo
1A55;Mc
1A57;Mc
1A61;Mc
1A63;Mc
1A64;Mc
1A6D;Mc
1A6E;Mc
1A6F;Mc
1A70;Mc
1A71;Mc
1A72;Mc
1B04;Mc
1B05;Lo
1B06;Lo
1B07;Lo
1B08;Lo
1B09;Lo
1B0A;Lo
1B0B;Lo
1B0C;Lo
1B0D;Lo
1B0E;Lo
1B0F;Lo
1B10;Lo
1B11;Lo
1B12;Lo
1B13;Lo
1B14;Lo
1B15;Lo
1B16;Lo
1B17;Lo
1B18;Lo
1B19;Lo
1B1A;Lo
1B1B;Lo
1B1C;Lo
1B1D;Lo
1B1E;Lo
1B1F;Lo
1B20;Lo
1B21;Lo
1B22;Lo
1B23;Lo
1B24;Lo
1B25;Lo
1B26;Lo
1B27;Lo
1B28;Lo
1B29;Lo
1B2A;Lo
1B2B;Lo
1B2C;Lo
1B2D;Lo
1B2E;Lo
1B2F;Lo
1B30;Lo
1B31;Lo
1B32;Lo
1B33;Lo
1B35;Mc
1B3B;Mc
1B3D;Mc
1B3E;Mc
1B3F;Mc
1B40;Mc
1B41;Mc
1B43;Mc
1B44;Mc
1B45;Lo
1B46;Lo
1B47;Lo
1B48;Lo
1B49;Lo
1B4A;Lo
1B4B;Lo
1B82;Mc
1B83;Lo
1B84;Lo
1B85;Lo
1B86;Lo
1B87;Lo
1B88;Lo
1B89;Lo
1B8A;Lo
1B8B;Lo
1B8C;Lo
1B8D;Lo
1B8E;Lo
1B8F;Lo
1B90;Lo
1B91;Lo
1B92;Lo
1B93;Lo
1B94;Lo
1B95;Lo
1B96;Lo
1B97;Lo
1B98;Lo
1B99;Lo
1B9A;Lo
1B9B;Lo
1B9C;Lo
1B9D;Lo
1B9E;Lo
1B9F;Lo
1BA0;Lo
1BA1;Mc
1BA6;Mc
1BA7;Mc
1BAA;Mc
1BAE;Lo
1BAF;Lo
1BBA;Lo
1BBB;Lo
1BBC;Lo
1BBD;Lo
1BBE;Lo
1BBF;Lo
1BC0;Lo
1BC1;Lo
1BC2;Lo
1BC3;Lo
1BC4;Lo
1BC5;Lo
1BC6;Lo
1BC7;Lo
1BC8;Lo
1BC9;Lo
1BCA;Lo
1BCB;Lo
1BCC;Lo
1BCD;Lo
1BCE;Lo
1BCF;Lo
1BD0;Lo
1BD1;Lo
1BD2;Lo
1BD3;Lo
1BD4;Lo
1BD5;Lo
1BD6;Lo
1BD7;Lo
1BD8;Lo
1BD9;Lo
1BDA;Lo
1BDB;Lo
1BDC;Lo
1BDD;Lo
1BDE;Lo
1BDF;Lo
1BE0;Lo
1BE1;Lo
1BE2;Lo
1BE3;Lo
1BE4;Lo
1BE5;Lo
1BE7;Mc
1BEA;Mc
1BEB;Mc
1BEC;Mc
1BEE;Mc
1BF2;Mc
1BF3;Mc
1C00;Lo
1C01;Lo
1C02;Lo
1C03;Lo
1C04;Lo
1C05;Lo
1C06;Lo
1C07;Lo
1C08;Lo
1C09;Lo
1C0A;Lo
1C0B;Lo
1C0C;Lo
1C0D;Lo
1C0E;Lo
1C0F;Lo
1C10;Lo
1C11;Lo
1C12;Lo
1C13;Lo
1C14;Lo
1C15;Lo
1C16;Lo
1C17;Lo
1C18;Lo
1C19;Lo
1C1A;Lo
1C1B;Lo
1C1C;Lo
1C1D;Lo
1C1E;Lo
1C1F;Lo
1C20;Lo
1C21;Lo
1C22;Lo
1C23;Lo
1C24;Mc
1C25;Mc
1C26;Mc
1C27;Mc
1C28;Mc
1C29;Mc
1C2A;Mc
1C2B;Mc
1C34;Mc
1C35;Mc
1C4D;Lo
1C4E;Lo
1C4F;Lo
1C5A;Lo
1C5B;Lo
1C5C;Lo
1C5D;Lo
1C5E;Lo
1C5F;Lo
1C60;Lo
1C61;Lo
1C62;Lo
1C63;Lo
1C64;Lo
1C65;Lo
1C66;Lo
1C67;Lo
1C68;Lo
1C69;Lo
1C6A;Lo
1C6B;Lo
1C6C;Lo
1C6D;Lo
1C6E;Lo
1C6F;Lo
1C70;Lo
1C71;Lo
1C72;Lo
1C73;Lo
1C74;Lo
1C75;Lo
1C76;Lo
1C77;Lo
1CE1;Mc
1CE9;Lo
1CEA;Lo
1CEB;Lo
1CEC;Lo
1CEE;Lo
1CEF;Lo
1CF0;Lo
1CF1;Lo
1CF2;Mc
1CF3;Mc
1CF5;Lo
1CF6;Lo
200B;Cf
200C;Cf
200D;Cf
200E;Cf
200F;Cf
202A;Cf
202B;Cf
202C;Cf
202D;Cf
202E;Cf
203F;Pc
2040;Pc
2054;Pc
2060;Cf
2061;Cf
2062;Cf
2063;Cf
2064;Cf
2066;Cf
2067;Cf
2068;Cf
2069;Cf
206A;Cf
206B;Cf
206C;Cf
206D;Cf
206E;Cf
206F;Cf
2135;Lo
2136;Lo
2137;Lo
2138;Lo
2D30;Lo
2D31;Lo
2D32;Lo
2D33;Lo
2D34;Lo
2D35;Lo
2D36;Lo
2D37;Lo
2D38;Lo
2D39;Lo
2D3A;Lo
2D3B;Lo
2D3C;Lo
2D3D;Lo
2D3E;Lo
2D3F;Lo
2D40;Lo
2D41;Lo
2D42;Lo
2D43;Lo
2D44;Lo
2D45;Lo
2D46;Lo
2D47;Lo
2D48;Lo
2D49;Lo
2D4A;Lo
2D4B;Lo
2D4C;Lo
2D4D;Lo
2D4E;Lo
2D4F;Lo
2D50;Lo
2D51;Lo
2D52;Lo
2D53;Lo
2D54;Lo
2D55;Lo
2D56;Lo
2D57;Lo
2D58;Lo
2D59;Lo
2D5A;Lo
2D5B;Lo
2D5C;Lo
2D5D;Lo
2D5E;Lo
2D5F;Lo
2D60;Lo
2D61;Lo
2D62;Lo
2D63;Lo
2D64;Lo
2D65;Lo
2D66;Lo
2D67;Lo
2D80;Lo
2D81;Lo
2D82;Lo
2D83;Lo
2D84;Lo
2D85;Lo
2D86;Lo
2D87;Lo
2D88;Lo
2D89;Lo
2D8A;Lo
